Field	Precision	Recall	F1-Score	start_index	end_index
OTHER	0.9407828789093825	0.9985902005639198	0.9688250019355337	33	33
box16StateWagesTips	0.0	0.0	0.0	35	44
box17StateIncomeTax	0.0	0.0	0.0	46	51
box1WagesTipsAndOtherCompensations	0.0	0.0	0.0	53	60
box2FederalIncomeTaxWithheld	0.0	0.0	0.0	62	67
box3SocialSecurityWages	0.0	0.0	0.0	115	119
box4SocialSecurityTaxWithheld	0.0	0.0	0.0	121	129
einEmployerIdentificationNumber	0.9032258064516129	0.28717948717948716	0.43579766536964976	131	132
employeeName	0.0	0.0	0.0	134	134
employerAddressCity	0.33962264150943394	0.05901639344262295	0.1005586592178771	136	139
employerAddressState	0.0	0.0	0.0	141	145
employerAddressStreet_name	0.5	0.01653944020356234	0.03201970443349753	147	149
employerAddressZip	0.5275590551181102	0.33668341708542715	0.4110429447852761	151	153
employerName	0.488	0.08764367816091954	0.14859926918392205	155	161
ssnOfEmployee	0.868421052631579	0.3815028901734104	0.5301204819277109	210	220
taxYear	0.6074766355140186	0.37572254335260113	0.4642857142857143	249	251
